,year_week,year_week_ts,sinal_aps_bi,sinal_aih,sinal_otc_bi
0,2022-47,2022-11-21,0,1,0
1,2022-48,2022-11-28,0,0,0
2,2022-49,2022-12-05,0,0,0
3,2022-50,2022-12-12,0,0,0
4,2022-51,2022-12-19,11,0,39
5,2022-52,2022-12-26,1,0,3
6,2023-01,2023-01-02,0,0,4
7,2023-02,2023-01-09,11,0,7
8,2023-03,2023-01-16,40,0,56
9,2023-04,2023-01-23,20,0,42
10,2023-05,2023-01-30,39,1,23
11,2023-06,2023-02-06,35,0,68
12,2023-07,2023-02-13,26,1,65
13,2023-08,2023-02-20,119,1,56
14,2023-09,2023-02-27,26,1,29
15,2023-10,2023-03-06,7,3,18
16,2023-11,2023-03-13,4,3,14
17,2023-12,2023-03-20,3,18,34
18,2023-13,2023-03-27,11,17,43
19,2023-14,2023-04-03,16,13,106
20,2023-15,2023-04-10,15,17,73
21,2023-16,2023-04-17,51,13,158
22,2023-17,2023-04-24,76,13,186
23,2023-18,2023-05-01,62,25,144
24,2023-19,2023-05-08,99,28,154
25,2023-20,2023-05-15,33,25,269
26,2023-21,2023-05-22,35,24,368
27,2023-22,2023-05-29,59,13,264
28,2023-23,2023-06-05,139,8,333
29,2023-24,2023-06-12,109,8,106
30,2023-25,2023-06-19,229,7,18
31,2023-26,2023-06-26,292,6,9
32,2023-27,2023-07-03,237,6,18
33,2023-28,2023-07-10,380,4,34
34,2023-29,2023-07-17,334,1,120
35,2023-30,2023-07-24,246,0,136
36,2023-31,2023-07-31,185,1,49
37,2023-32,2023-08-07,76,2,58
38,2023-33,2023-08-14,63,1,52
39,2023-34,2023-08-21,20,0,83
40,2023-35,2023-08-28,39,1,40
41,2023-36,2023-09-04,82,0,60
42,2023-37,2023-09-11,32,0,28
43,2023-38,2023-09-18,50,0,30
44,2023-39,2023-09-25,43,0,58
45,2023-40,2023-10-02,10,0,68
46,2023-41,2023-10-09,80,0,73
47,2023-42,2023-10-16,20,1,49
48,2023-43,2023-10-23,19,0,109
49,2023-44,2023-10-30,111,0,36
50,2023-45,2023-11-06,7,1,57
51,2023-46,2023-11-13,91,0,76
52,2023-47,2023-11-20,121,0,29
53,2023-48,2023-11-27,75,0,16
54,2023-49,2023-12-04,176,0,34
55,2023-50,2023-12-11,190,0,11
56,2023-51,2023-12-18,235,0,19
57,2023-52,2023-12-25,273,0,110
58,2024-01,2024-01-01,248,1,17
59,2024-02,2024-01-08,146,0,26
60,2024-03,2024-01-15,147,0,51
61,2024-04,2024-01-22,115,0,24
62,2024-05,2024-01-29,140,0,21
63,2024-06,2024-02-05,156,0,56
64,2024-07,2024-02-12,260,0,42
65,2024-08,2024-02-19,74,0,37
66,2024-09,2024-02-26,18,0,85
67,2024-10,2024-03-04,15,2,98
68,2024-11,2024-03-11,2,2,112
69,2024-12,2024-03-18,8,3,116
70,2024-13,2024-03-25,51,3,60
71,2024-14,2024-04-01,13,20,108
72,2024-15,2024-04-08,13,20,112
73,2024-16,2024-04-15,10,31,160
74,2024-17,2024-04-22,8,33,275
75,2024-18,2024-04-29,76,24,176
76,2024-19,2024-05-06,97,20,137
77,2024-20,2024-05-13,139,8,153
78,2024-21,2024-05-20,180,17,154
79,2024-22,2024-05-27,269,8,138
80,2024-23,2024-06-03,217,19,139
81,2024-24,2024-06-10,248,14,117
82,2024-25,2024-06-17,263,14,133
83,2024-26,2024-06-24,210,7,150
84,2024-27,2024-07-01,235,7,284
85,2024-28,2024-07-08,237,7,199
86,2024-29,2024-07-15,193,5,121
87,2024-30,2024-07-22,131,4,113
88,2024-31,2024-07-29,160,2,48
89,2024-32,2024-08-05,92,1,98
90,2024-33,2024-08-12,41,1,103
91,2024-34,2024-08-19,13,3,139
92,2024-35,2024-08-26,20,4,97
93,2024-36,2024-09-02,22,1,123
94,2024-37,2024-09-09,39,7,133
95,2024-38,2024-09-16,78,2,247
96,2024-39,2024-09-23,46,0,338
97,2024-40,2024-09-30,99,2,210
98,2024-41,2024-10-07,124,0,173
99,2024-42,2024-10-14,124,0,94
100,2024-43,2024-10-21,43,0,79
101,2024-44,2024-10-28,87,0,69
102,2024-45,2024-11-04,117,0,74
103,2024-46,2024-11-11,73,0,84
104,2024-47,2024-11-18,189,0,52
105,2024-48,2024-11-25,60,0,69
106,2024-49,2024-12-02,15,0,119
107,2024-50,2024-12-09,27,0,115
108,2024-51,2024-12-16,30,0,176
109,2024-52,2024-12-23,227,0,139
